state,date,sex,age,ethnicity,population,area,year,Population_absolute,Population_density
Johor,01/01/2000,both,overall,overall,2762.5,19210,2000,2762500,143.81
Johor,01/01/2001,both,overall,overall,2829.9,19210,2001,2829900,147.31
Johor,01/01/2002,both,overall,overall,2893.6,19210,2002,2893600,150.63
Johor,01/01/2003,both,overall,overall,2954,19210,2003,2954000,153.77
Johor,01/01/2004,both,overall,overall,3014.6,19210,2004,3014600,156.93
Johor,01/01/2005,both,overall,overall,3074.4,19210,2005,3074400,160.04
Johor,01/01/2006,both,overall,overall,3134.4,19210,2006,3134400,163.17
Johor,01/01/2007,both,overall,overall,3193.5,19210,2007,3193500,166.24
Johor,01/01/2008,both,overall,overall,3252.3,19210,2008,3252300,169.3
Johor,01/01/2009,both,overall,overall,3309.4,19210,2009,3309400,172.27
Johor,01/01/2010,both,overall,overall,3362.9,19210,2010,3362900,175.06
Johor,01/01/2011,both,overall,overall,3410.5,19210,2011,3410500,177.54
Johor,01/01/2012,both,overall,overall,3450.4,19210,2012,3450400,179.61
Johor,01/01/2013,both,overall,overall,3474.4,19210,2013,3474400,180.86
Johor,01/01/2014,both,overall,overall,3559.8,19210,2014,3559800,185.31
Johor,01/01/2015,both,overall,overall,3610.3,19210,2015,3610300,187.94
Johor,01/01/2016,both,overall,overall,3651.8,19210,2016,3651800,190.1
Johor,01/01/2017,both,overall,overall,3697,19210,2017,3697000,192.45
Johor,01/01/2018,both,overall,overall,3749.4,19210,2018,3749400,195.18
Johor,01/01/2019,both,overall,overall,3761.2,19210,2019,3761200,195.79
Johor,01/01/2020,both,overall,overall,4009.7,19210,2020,4009700,208.73
Johor,01/01/2021,both,overall,overall,4020,19210,2021,4020000,209.27
Johor,01/01/2022,both,overall,overall,4028.3,19210,2022,4028300,209.7
Johor,01/01/2023,both,overall,overall,4107.2,19210,2023,4107200,213.81
Johor,01/01/2024,both,overall,overall,4186.3,19210,2024,4186300,217.92
Kedah,01/01/2000,both,overall,overall,1671.9,9500,2000,1671900,175.99
Kedah,01/01/2001,both,overall,overall,1703.9,9500,2001,1703900,179.36
